episode,total_reward,avg_wait_time,fuel_used
1,-39.4,2.7666666666666666,100.80000000000008
2,-33.500000000000014,2.966666666666667,100.40000000000008
3,-40.900000000000006,4.233333333333333,100.80000000000008
4,-18.39999999999999,2.8666666666666667,100.00000000000007
5,-28.4,2.433333333333333,100.40000000000005
6,8.20000000000002,3.566666666666667,100.20000000000007
7,12.599999999999927,2.8,100.0000000000001
8,63.39999999999998,3.0,100.40000000000006
9,132.89999999999998,4.733333333333333,100.20000000000003
10,145.09999999999997,2.533333333333333,100.80000000000001
11,158.60000000000002,2.8666666666666667,100.00000000000001
12,148.6,2.3333333333333335,100.80000000000001
13,160.5,2.3,100.0
14,162.8,1.8666666666666667,100.4
15,135.0,2.033333333333333,100.0
16,154.6,2.3666666666666667,100.4
17,140.0,1.7,100.0
18,155.5,3.2,100.60000000000001
19,159.60000000000002,2.7333333333333334,100.4
20,161.60000000000002,1.7666666666666666,100.4
21,154.8,1.9333333333333333,100.2
22,146.0,2.1333333333333333,100.0
23,160.60000000000002,2.066666666666667,100.4
24,147.4,1.8666666666666667,100.60000000000001
25,167.5,2.033333333333333,100.0
26,147.0,1.6,100.0
27,157.6,2.2,100.4
28,163.4,2.8666666666666667,100.60000000000001
29,158.60000000000002,2.033333333333333,100.4
30,141.0,2.5,100.0
31,164.60000000000002,2.2,100.4
32,165.4,1.9,100.60000000000001
33,155.5,2.7,100.8
34,177.10000000000002,2.1333333333333333,100.8
35,139.0,2.5,100.0
36,150.8,2.2,100.2
37,157.7,2.7333333333333334,100.0
38,168.3,3.2666666666666666,100.0
39,160.9,1.5333333333333334,100.0
40,157.40000000000003,4.966666666666667,100.60000000000001
41,163.4,2.533333333333333,100.0
42,147.9,5.2,100.2
43,186.70000000000002,2.1666666666666665,100.8
44,160.4,2.2,100.0
45,147.10000000000002,2.2666666666666666,100.4
46,140.6,2.1,100.8
47,157.1,3.7666666666666666,100.4
48,156.4,2.466666666666667,100.8
49,171.5,2.3333333333333335,100.60000000000001
50,149.5,2.7,100.4
51,130.5,4.133333333333334,100.4
52,165.20000000000005,4.166666666666667,100.4
53,167.3,4.0,100.20000000000002
54,170.5,3.3666666666666667,100.60000000000001
55,176.50000000000003,3.3333333333333335,100.4
56,196.50000000000006,2.433333333333333,100.0
57,158.0,2.966666666666667,100.00000000000001
58,177.70000000000002,1.3333333333333333,100.2
59,154.70000000000002,4.1,100.4
60,173.50000000000006,2.066666666666667,100.00000000000001
61,167.7,1.6666666666666667,100.0
62,157.0,1.6,100.0
63,151.0,2.1,100.4
64,158.3,2.3,100.0
65,172.0,2.2666666666666666,100.6
66,138.09999999999997,2.433333333333333,100.80000000000001
67,155.2,3.1666666666666665,100.2
68,148.49999999999997,2.433333333333333,100.00000000000001
69,177.8,1.9333333333333333,100.0
70,168.8,1.8333333333333333,100.0
71,164.89999999999992,1.7666666666666666,100.00000000000003
72,141.39999999999998,1.8333333333333333,100.00000000000001
73,138.49999999999997,2.3333333333333335,100.00000000000003
74,141.39999999999995,3.5,100.00000000000003
75,130.19999999999993,3.7,100.00000000000003
76,175.9,2.8666666666666667,100.0
77,123.79999999999984,1.7,100.00000000000006
78,135.1,3.566666666666667,100.00000000000003
79,152.8,3.3333333333333335,100.00000000000001
80,141.39999999999995,2.433333333333333,100.00000000000001
81,100.79999999999997,3.7666666666666666,100.00000000000004
82,162.09999999999997,1.6333333333333333,100.00000000000003
83,128.09999999999985,2.033333333333333,100.00000000000004
84,112.99999999999997,3.8333333333333335,100.00000000000003
85,117.39999999999999,2.3666666666666667,100.60000000000002
86,139.19999999999987,1.4666666666666666,100.00000000000004
87,179.39999999999998,2.3666666666666667,100.40000000000002
88,101.99999999999994,2.033333333333333,100.20000000000003
89,156.0999999999999,2.3,100.00000000000006
90,160.69999999999993,1.9,100.00000000000003
91,152.99999999999994,3.466666666666667,100.00000000000004
92,165.79999999999998,1.0,100.00000000000003
93,136.89999999999986,2.966666666666667,100.00000000000006
94,171.2,1.9666666666666666,100.00000000000003
95,148.7,2.466666666666667,100.00000000000003
96,106.39999999999998,3.1333333333333333,100.00000000000004
97,144.29999999999998,1.9333333333333333,100.00000000000003
98,118.39999999999992,2.7666666666666666,100.00000000000003
99,155.49999999999991,2.3333333333333335,100.00000000000003
100,154.7,3.2333333333333334,100.00000000000003
101,173.09999999999997,2.2,100.40000000000002
102,121.59999999999985,2.7666666666666666,100.40000000000005
103,153.89999999999992,1.6,100.80000000000004
104,182.7,1.3,100.20000000000003
105,177.0,1.8666666666666667,100.8
106,103.99999999999982,1.7333333333333334,100.00000000000007
107,127.99999999999989,2.6666666666666665,100.40000000000005
108,177.7,2.2666666666666666,100.20000000000002
109,121.6,2.5,100.40000000000003
110,186.10000000000002,1.2333333333333334,100.60000000000001
111,164.8,1.6,100.6
112,164.09999999999994,1.7333333333333334,100.60000000000004
113,128.2999999999999,2.7,100.40000000000005
114,173.00000000000003,1.3,100.8
115,181.60000000000005,3.6,100.8
116,176.20000000000005,3.1666666666666665,100.0
117,129.39999999999986,1.9,100.20000000000005
118,173.8,1.5,100.20000000000002
119,162.89999999999998,2.433333333333333,100.00000000000003
120,150.09999999999997,2.2666666666666666,100.40000000000002
