episode,total_reward,avg_wait_time,fuel_used,loss,epsilon
1,39.00000000000009,3.6,34.00000000000002,0.0,1.0
2,35.100000000000044,3.7666666666666666,36.40000000000003,0.0,1.0
3,55.20000000000007,5.833333333333333,37.20000000000003,0.0,1.0
4,47.10000000000007,3.6333333333333333,38.40000000000002,0.0,1.0
5,25.100000000000037,5.633333333333334,28.000000000000032,0.0,1.0
6,51.500000000000064,2.966666666666667,38.40000000000003,0.0,1.0
7,44.700000000000045,5.066666666666666,38.80000000000002,0.0,1.0
8,59.800000000000054,5.533333333333333,34.40000000000003,0.0,1.0
9,62.50000000000007,6.133333333333334,40.40000000000002,0.0,1.0
10,51.800000000000104,3.033333333333333,35.60000000000002,0.0,1.0
11,45.700000000000074,4.133333333333334,39.20000000000001,0.0,1.0
12,44.800000000000054,3.6,33.20000000000003,0.0,1.0
13,83.10000000000011,3.6,36.40000000000003,0.0,1.0
14,31.200000000000028,2.966666666666667,38.800000000000026,0.0,1.0
15,42.90000000000004,3.933333333333333,36.00000000000002,0.0,1.0
16,65.20000000000007,4.4,36.40000000000002,0.0,1.0
17,45.20000000000008,4.766666666666667,33.60000000000002,0.0,1.0
18,72.70000000000009,4.166666666666667,39.60000000000002,0.0,1.0
19,51.50000000000008,3.6,38.40000000000002,0.0,1.0
20,88.7000000000001,2.6333333333333333,36.40000000000001,1.1981241703033447,0.998
21,111.90000000000008,2.6666666666666665,40.40000000000001,0.8356791937351227,0.8169296710790511
22,82.50000000000007,3.033333333333333,40.00000000000002,0.6688517189025879,0.6687115105103473
23,102.50000000000006,2.533333333333333,43.600000000000016,0.5740000599622727,0.5473850444168268
24,125.20000000000007,5.066666666666666,40.40000000000002,0.47877269580960274,0.448071226742515
25,172.19999999999996,2.1,44.000000000000014,0.458930558860302,0.36677623234744455
26,151.8,3.9,46.00000000000001,0.4322061163187027,0.3002308485483078
27,155.7,2.5,47.2,0.42127260208129885,0.24575900636508355
28,141.60000000000002,2.6666666666666665,46.00000000000001,0.42494824156165123,0.20117016456366946
29,184.7,1.9,47.6,0.39567739993333817,0.16467121880552807
30,190.5,1.4666666666666666,48.00000000000001,0.3997262778878212,0.13479439340178997
31,203.29999999999998,2.1666666666666665,48.400000000000006,0.7597676853835583,0.11033821589681822
32,227.59999999999997,1.4333333333333333,48.800000000000004,0.40482690498232843,0.09031920082168032
33,208.5,1.2333333333333334,50.0,0.368688096255064,0.0739322996186152
34,195.2,1.8666666666666667,49.6,0.347084741294384,0.06051852626207736
35,200.9,1.7333333333333334,49.2,0.3247691804170609,0.05
36,186.89999999999998,2.1666666666666665,49.2,0.328039084225893,0.05
37,191.39999999999998,1.5333333333333334,49.2,0.32857876673340797,0.05
38,217.5,1.9,50.0,0.3184215374290943,0.05
39,202.6,2.3666666666666667,48.800000000000004,0.3129935769736767,0.05
40,200.5,1.5666666666666667,50.0,0.3124221873283386,0.05
41,217.89999999999998,1.9333333333333333,49.2,0.6849163745343685,0.05
42,205.7,2.2,49.6,0.3381486488878727,0.05
43,189.7,1.8,49.6,0.3341238284111023,0.05
44,187.89999999999998,1.9333333333333333,49.2,0.32322194293141365,0.05
45,180.5,2.8,50.0,0.3275699742138386,0.05
46,181.6,2.2666666666666666,48.800000000000004,0.30963686138391494,0.05
47,206.0,1.9333333333333333,50.0,0.3016939713060856,0.05
48,186.4,1.6,49.2,0.31478179939091205,0.05
49,201.5,1.6333333333333333,50.0,0.32112301647663116,0.05
50,213.7,1.5,49.6,0.31321049451828004,0.05
